Gene,Method,Simulation,Sequences,Codons,LRT p-value,cAIC,w1,p1,w2,p2,w3,p3,CV(omega),SRV1,SRV_p1,SRV2,SRV_p2,SRV3,SRV_p3,CV(alpha)_calculated,CV(alpha)_simulated,DH_Rate,TH_Rate,TH_Rate_SI,BUSTEDS-MH_num_ER_Sites,BUSTEDS-MH_ER_Sites,BUSTEDS_num_ER_Sites,BUSTEDS_ER_Sites
2580.replicate.10,BUSTEDS-MH,null-2.0,21.0,5000.0,0.5,372288.2223748282,0.9356,0.0,1.0,1.0,2.2269,0.0,0.42819995172596365,0.0711,0.0372,0.5426,0.3713,1.3455,1.3455,0.8055879752334142,2.0,0.009767027348697008,0.001263920533386686,0.0,,,,
2580.replicate.10,BUSTEDS-MH,null-2.3,21.0,5000.0,0.3541783167929892,374026.1970515164,0.9983,0.7602,1.0,0.1397,1.1172,0.1001,0.053590400778309934,0.0563,0.0292,0.5043,0.3397,1.3104,1.3104,0.8320069191051385,2.3,0.0,0.0,0.0,0.0,,,
2580.replicate.2,BUSTEDS,null-2.0,21.0,5000.0,0.4721584274901752,373868.046919048,0.9905,0.7265,1.0,0.2735,138.1007,0.0,1.3840725699712568,0.0619,0.0366,0.5325,0.3659,1.3438,1.3438,0.8195111044476459,2.0,,,,,,0.0,
2580.replicate.2,BUSTEDS,null-2.3,21.0,5000.0,0.318584177251541,374420.3272629933,0.752,0.194,0.8915,0.3629,1.1902,0.4431,0.1935145819128082,0.0736,0.0325,0.5112,0.3437,1.3178,1.3178,0.8125748125117191,2.3,,,,,,0.0,
2580.replicate.2,BUSTEDS-MH,null-2.0,21.0,5000.0,0.4712104938882914,373873.1156836151,0.9424,0.2827,0.9984,0.7001,1.7112,0.0171,0.28748412720271066,0.0614,0.0364,0.5319,0.3657,1.3434,1.3434,0.8202249527933542,2.0,0.0,0.003253099510938845,0.0,0.0,,,
2580.replicate.2,BUSTEDS-MH,null-2.3,21.0,5000.0,0.42997086669949,374425.7489543881,0.6658,0.1475,0.803,0.0407,1.0645,0.8118,0.1958524377059602,0.0734,0.0324,0.5113,0.3437,1.3173,1.3173,0.8125843233259964,2.3,0.003655909261353067,0.0,0.0,0.0,,,
2580.replicate.3,BUSTEDS,null-2.0,21.0,5000.0,0.4438764932542508,375813.1135031527,0.9461,0.4997,0.9937,0.4302,1.3998,0.0701,0.18288390378298247,0.0709,0.034,0.5147,0.3479,1.3242,1.3242,0.8150601810139577,2.0,,,,,,0.0,
2580.replicate.3,BUSTEDS,null-2.3,21.0,5000.0,0.1497295220829,372520.5391470433,0.8978,0.4927,0.9741,0.3577,1.4717,0.1495,0.2283185668605347,0.4075,0.3288,1.2902,0.6712,10.1169,10.1169,1.113157530542055,2.3,,,,,,0.0,
2580.replicate.3,BUSTEDS-MH,null-2.0,21.0,5000.0,0.478079502296361,375818.1048169539,0.0,0.0074,1.0,0.9736,1.2299,0.019,0.7182924487168562,0.0709,0.034,0.5145,0.3476,1.3239,1.3239,0.8150900161686928,2.0,0.0,0.003011767837895633,0.0,0.0,,,
2580.replicate.3,BUSTEDS-MH,null-2.3,21.0,5000.0,0.4914347605063376,372222.6393452187,0.9506,0.02,0.9998,0.9726,1.5457,0.0074,0.2314166947734084,0.0547,0.0375,0.5085,0.3447,1.3315,1.3315,0.836753248249571,2.3,0.003762407244599596,0.0,0.0,0.0,,,
